Name,MakamScaleId,Author

Χαρικλάκι,RAST,Παναγιώτης Τούντας
Ζεμπεκάνο Σπανιόλο,RAST,Γιώργος Μπάτης
Μαρίκα χασικλού,RAST,Βαγγέλης Παπάζογλου
Γκαμηλιέρικο,RAST,Γιώργος Μπάτης
Αλεξανδριανή φελάχα,RAST,Ρόζα Εσκενάζυ|Δημήτρης Σέμσης
Η Μαρία η δασκάλα,RAST,Παναγιώτης Τούντας
Οι τρεις ορφανές, RAST,Γρηγόρης Ασίκης
Μες του Βαβούλα τη γούβα,RAST,Στράτος Παγιουμτζής|Στέλιος Κερομύτης 

Ώρες με θρέφει ο λουλάς,RAST_SAZKAR,Μάρκος Βαμβακάρης
Στο Φάληρο που πλένεσαι,RAST_SAZKAR,Μάρκος Βαμβακάρης

Καραβοτσακίσματα,RAST_SAZKAR|HUZAM,Μάρκος Βαμβακάρης